,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
45063,C11,450,0,2024-05-24 09:08:00+00,2024,5,Friday   ,9,WASHINGTON ST,42.29131567176308,-71.07170355337006,"(42.29131567176308, -71.07170355337006)"
45064,D4,627,0,2024-05-23 15:31:00+00,2024,5,Thursday ,15,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
45077,E5,735,0,2024-05-27 22:15:00+00,2024,5,Monday   ,22,CENTRE ST,42.28397156088814,-71.15689172533895,"(42.28397156088814, -71.15689172533895)"
45090,E18,496,0,2024-06-14 11:46:00+00,2024,6,Friday   ,11,HYDE PARK AVE,42.26701046863793,-71.12096250389341,"(42.26701046863793, -71.12096250389341)"
45101,B3,,0,2023-08-01 17:40:00+00,2023,8,Tuesday  ,17,BLUE HILL AVE,42.26922235987329,-71.09384095216778,"(42.26922235987329, -71.09384095216778)"
45112,D4,168,0,2023-10-26 12:45:00+00,2023,10,Thursday ,12,WASHINGTON ST,42.33816340852764,-71.07461269356651,"(42.338163408527635, -71.07461269356651)"
45158,A1,112,0,2024-02-20 18:58:00+00,2024,2,Tuesday  ,18,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
45164,B3,476,0,2024-02-21 11:24:00+00,2024,2,Wednesday,11,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
45178,D4,134,0,2024-02-25 15:11:00+00,2024,2,Sunday   ,15,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
45181,A1,,0,2023-04-21 13:15:00+00,2023,4,Friday   ,13,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
45201,C6,186,0,2024-01-31 15:15:00+00,2024,1,Wednesday,15,ALLSTATE RD,42.326965998839725,-71.06198658978266,"(42.326965998839725, -71.06198658978266)"
45220,D4,165,0,2024-06-13 12:00:00+00,2024,6,Thursday ,12,HARRISON AVE,42.3425448641823,-71.06555957658158,"(42.3425448641823, -71.06555957658158)"
45243,D14,768,0,2024-06-13 11:39:00+00,2024,6,Thursday ,11,MARKET ST,42.35524865013419,-71.14966880287777,"(42.35524865013419, -71.14966880287777)"
45245,C6,186,0,2024-06-13 21:57:00+00,2024,6,Thursday ,21,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
